Meta_labels	I_7669690	I_7670609	I_7670715	I_7673207	I_7673266	I_7673339	I_7673535	I_7673608	I_7673701	I_7673837	I_7674181	I_7674290	I_7674859	I_7674971	I_7675053	I_7675236	I_7675994	I_7676272	I_7676382	I_7676403	I_7676521	I_7676619	I_7676622	I_7687377
3bae62a6-dc08-4ed5-977d-5271e0043c1b	0	0	0	19	16	11	35	1	0	2	0	0	0	0	0	0	0	0	0	2	5	0	0	9
6c68e62c-df70-4534-b06a-fbac70a348e0	0	1	2	4	7	0	3	9	3	0	0	2	2	3	0	2	1	5	1	3	2	0	1	1
d01b20fd-7353-4cd6-970b_12817d48265b	3	3	5	8	8	4	7	1	4	9	7	6	7	3	8	50	83	8	0	0	4	5	2	1
dacbaed5-777d-47fb-9f34-d0132a0cf68e	1	1	0	1	2	0	0	0	0	0	0	0	0	0	0	2	2	0	0	15	5	1	1	0
TCGA-39-5039-01A-01R-1443-07	1	0	0	3	0	1	2	0	0	0	0	0	0	0	0	1	0	0	0	1	0	0	0	0
TCGA-43-A474-01A-11R-A24H-07	0	1	1	0	0	1	0	0	0	0	0	6	6	0	0	0	0	0	0	0	0	0	0	2
TCGA-50-5933-01A-11R-1755-07	0	2	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3	0	0	0
TCGA-56-7823-01B-11R-2247-07	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	1	0	0	0	0	0	0	0
TCGA-56-8082-01A-11R-2247-07	0	0	3	3	2	3	8	0	1	1	0	2	0	0	0	0	1	0	0	1	3	0	0	1
